lp,data,dystans,predkosc,czas_sek,trasa,miesiac,rok
1,2015-02-21,290,2.5,415,osiedle,2,2015
2,2015-02-22,830,4.1,717,park,2,2015
3,2015-02-22,550,3.1,643,park,2,2015
4,2015-02-22,420,3,499,park,2,2015
5,2015-02-23,510,3,599,park,2,2015
6,2015-02-24,400,3.5,409,park,2,2015
7,2015-02-25,370,2.3,581,park,2,2015
8,2015-02-26,460,2.6,627,park,2,2015
9,2015-02-28,630,3.6,620,park,2,2015
10,2015-02-28,700,4.4,577,park,2,2015
11,2015-02-28,590,4,522,park,2,2015
12,2015-02-28,340,3.4,394,park,2,2015
13,2015-03-01,560,3.1,665,park,3,2015
14,2015-03-01,650,3.7,624,park,3,2015
15,2015-03-01,670,3.7,648,park,3,2015
16,2015-03-02,630,4.6,501,park,3,2015
17,2015-03-02,310,2.5,440,park,3,2015
18,2015-03-03,600,3.4,645,park,3,2015
19,2015-03-04,780,4.3,654,park,3,2015
20,2015-03-05,680,4.2,585,park,3,2015
21,2015-03-06,720,3.8,675,park,3,2015
22,2015-03-07,670,4.8,502,park,3,2015
23,2015-03-07,740,4.4,605,park,3,2015
24,2015-03-08,760,5,542,park,3,2015
25,2015-03-08,670,3.7,643,park,3,2015
26,2015-03-09,420,4.7,322,park,3,2015
27,2015-03-09,780,3.9,718,park,3,2015
28,2015-03-10,710,3.9,655,park,3,2015
29,2015-03-11,650,2.8,834,park,3,2015
30,2015-03-12,570,3.9,526,park,3,2015
31,2015-03-13,340,3.6,345,park,3,2015
32,2015-03-13,390,2.8,492,park,3,2015
33,2015-03-14,660,4,599,park,3,2015
34,2015-03-14,1070,5.2,684,park,3,2015
35,2015-03-15,750,4.9,550,park,3,2015
36,2015-03-17,730,3.1,850,park,3,2015
37,2015-03-17,450,3.3,491,park,3,2015
38,2015-03-18,540,3.5,561,park,3,2015
39,2015-03-19,660,3.3,720,park,3,2015
40,2015-03-19,880,4.6,684,park,3,2015
41,2015-03-20,580,2.4,870,park,3,2015
42,2015-03-20,870,4.8,652,park,3,2015
43,2015-03-21,600,3.7,583,park,3,2015
44,2015-03-22,1000,5.1,707,park,3,2015
45,2015-03-22,750,4.9,550,park,3,2015
46,2015-03-22,700,4,635,park,3,2015
47,2015-03-22,230,1.7,494,park,3,2015
48,2015-03-23,500,3.2,541,park,3,2015
49,2015-03-23,750,3.3,814,park,3,2015
50,2015-03-24,440,1.8,891,park,3,2015
51,2015-03-25,700,3.3,762,park,3,2015
52,2015-03-26,710,3.3,784,park,3,2015
53,2015-03-27,390,2.8,501,park,3,2015
54,2015-03-27,260,1.7,544,park,3,2015
55,2015-03-28,600,3.8,570,park,3,2015
56,2015-03-29,1180,5.1,806,park,3,2015
57,2015-03-29,530,3.2,602,park,3,2015
58,2015-03-29,510,3.1,604,park,3,2015
59,2015-03-29,610,3.9,580,park,3,2015
60,2015-03-29,330,1.9,606,park,3,2015
61,2015-04-02,500,4.4,602,park,4,2015
62,2015-04-03,760,4.1,660,park,4,2015
63,2015-04-04,720,4.1,625,park,4,2015
64,2015-04-05,430,3.8,404,park,4,2015
65,2015-04-05,460,2.1,792,park,4,2015
66,2015-04-06,740,4.1,671,park,4,2015
67,2015-04-06,770,4.2,680,park,4,2015
68,2015-04-07,410,2.3,633,park,4,2015
69,2015-04-08,440,3.0,527,park,4,2015
70,2015-04-08,460,2.8,583,park,4,2015
71,2015-04-10,320,1.9,609,park,4,2015
72,2015-04-10,410,2.1,720,park,4,2015
73,2015-04-10,700,4.3,585,park,4,2015
74,2015-07-26,780,4.3,658,park,7,2015
75,2015-07-26,360,1.6,804,park,7,2015
76,2015-10-10,820,4.1,721,park,10,2015
77,2015-10-10,900,3.7,887,park,10,2015
78,2015-10-11,530,2.6,743,park,10,2015
79,2015-10-11,1080,1.6,820,park,10,2015
80,2015-10-12,630,3.0,756,park,10,2015
81,2015-10-13,860,4.1,762,park,10,2015
82,2015-10-14,480,2.8,621,park,10,2015
83,2015-10-18,660,4.1,581,park,10,2015
84,2015-10-18,690,3.2,772,park,10,2015
85,2015-10-31,720,5.2,495,park,10,2015
86,2015-11-01,740,2.9,921,park,11,2015
87,2015-11-01,670,3.3,733,park,11,2015
88,2015-11-02,650,3.7,628,park,11,2015
89,2015-11-07,680,3.5,689,park,11,2015
90,2015-11-07,640,3.5,645,park,11,2015
91,2015-11-08,730,4.1,649,park,11,2015
92,2015-11-13,560,4.4,455,park,11,2015
93,2015-11-14,720,5.0,509,park,11,2015
94,2015-11-14,610,3.6,611,park,11,2015
95,2015-11-20,500,5.1,351,park,11,2015
96,2015-11-21,730,3.8,691,park,11,2015
97,2015-11-21,990,4.9,735,park,11,2015
98,2015-11-22,700,3.3,763,park,11,2015
99,2015-11-22,770,4.0,690,park,11,2015
100,2015-11-23,700,4.5,562,park,11,2015
101,2015-11-25,620,0.9,2537,park,11,2015
102,2015-11-28,760,4.5,606,park,11,2015
103,2015-11-29,660,4.2,560,park,11,2015
104,2015-11-29,610,3.2,681,park,11,2015
105,2015-11-30,300,1.9,569,park,11,2015
106,2015-12-05,410,2.9,512,park,12,2015
107,2015-12-06,440,3.2,499,park,12,2015
108,2015-12-11,420,3.2,467,park,12,2015
109,2015-12-13,970,5.0,695,park,12,2015
110,2015-12-19,620,4.2,534,park,12,2015
111,2015-12-20,670,4.0,596,park,12,2015
112,2015-12-20,650,4.9,475,park,12,2015
113,2015-12-24,680,3.7,653,park,12,2015
114,2015-12-24,630,3.6,621,park,12,2015
115,2015-12-26,720,4.3,601,park,12,2015
116,2015-12-26,760,3.5,772,park,12,2015
117,2015-12-27,720,3,5,723,park,12,2015
118,2015-12-28,760,3.6,601,park,12,2015
119,2015-12-28,710,4.5,501,park,12,2015
120,2015-12-29,900,5.1,740,park,12,2015
121,2015-12-29,690,4.0,629,park,12,2015
122,2015-12-30,730,3.8,697,park,12,2015
123,2015-12-31,860,3.9,784,park,12,2015
124,2015-12-31,830,3.9,761,park,12,2015
125,2016-01-01,690,3.7,674,park,1,2016
126,2016-01-01,580,4.1,505,park,1,2016
127,2016-01-02,810,4.4,670,park,1,2016
128,2016-01-02,740,4.9,545,park,1,2016
129,2016-01-02,400,3.5,418,park,1,2016
130,2016-01-03,630,4.4,523,park,1,2016
131,2016-01-03,390,3.3,426,park,1,2016
132,2016-01-04,950,5.6,609,park,1,2016
133,2016-01-04,860,5.2,539,park,1,2016
134,2016-01-05,540,3.4,565,park,1,2016
135,2016-01-05,870,3.5,890,park,1,2016
136,2016-01-05,650,4.5,520,park,1,2016
137,2016-01-06,820,3.6,820,park,1,2016
138,2016-01-06,670,4.3,565,park,1,2016
139,2016-01-06,730,2.7,974,park,1,2016
140,2016-01-07,430,2.3,659,park,1,2016
141,2016-01-07,400,2.7,526,park,1,2016
142,2016-01-08,910,3.3,861,park,1,2016
